table,variable,dtype,required,unit,cadence,source,description,quality_control,privacy_class
symptoms,timestamp_local,datetime,yes,local time,daily/event,diary,Symptom assessment time,Standard window preferred,quasi-identifier
symptoms,symptom_code,category,yes,ontology,daily/event,diary,"Pain, mood, headache, fatigue, etc.",Controlled vocabulary,sensitive
symptoms,severity,ordinal,yes,0-4 or validated,daily/event,diary,Severity,Use validated scale when available,sensitive
symptoms,interference,ordinal,optional,0-4,daily/event,diary,Functional interference,Same prompt throughout,sensitive
reference_labels,label_id,string,yes,none,per label,adjudication,Unique reference label,Unique,pseudonymous identifier
reference_labels,participant_id,string,yes,none,per label,study system,Foreign key,Referential integrity,pseudonymous identifier
reference_labels,label_type,category,yes,none,per label,adjudication,"Ovulation, menses onset, phase transition, anovulation",Controlled vocabulary,sensitive
reference_labels,time_lower_local,datetime,yes,local time,per label,adjudication,Lower bound of event interval,Must not exceed upper bound,quasi-identifier
reference_labels,time_upper_local,datetime,yes,local time,per label,adjudication,Upper bound of event interval,Represents label uncertainty,quasi-identifier
reference_labels,reference_method,category,yes,none,per label,adjudication,"Ultrasound, serum, LH+PdG composite, temperature shift, bleeding report",Pre-specified hierarchy,sensitive
reference_labels,confidence_grade,category,yes,A/B/C/D,per label,adjudication,Evidence grade,Blind dual review for primary labels,operational
reference_labels,adjudicator_ids,string,recommended,none,per label,adjudication,Pseudonymous adjudicator IDs,At least two for ambiguous labels,operational
reference_labels,adjudication_notes,string,optional,none,per label,adjudication,Reasoning and discrepancies,Restricted and redacted for sharing,sensitive
data_quality_flags,flag_id,string,yes,none,per flag,ETL/QC,Unique flag,Unique,operational
data_quality_flags,participant_id,string,yes,none,per flag,study system,Foreign key,Referential integrity,pseudonymous identifier
data_quality_flags,table_name,string,yes,none,per flag,ETL/QC,Affected table,Must exist,operational
data_quality_flags,record_key,string,yes,none,per flag,ETL/QC,Affected record key,Must resolve,operational
data_quality_flags,rule_id,string,yes,none,per flag,ETL/QC,Versioned QC rule identifier,Immutable rule version,operational
data_quality_flags,severity,category,yes,none,per flag,ETL/QC,"Info, warning, error, exclusion",Controlled vocabulary,operational
data_quality_flags,resolution,category,optional,none,per flag,QC,"Open, confirmed, corrected, accepted",Audit trail required,operational
